SkillCode,SkillName,Category,Subcategory,Description,AvailableLevels
ITSP,Strategic planning,Strategy and architecture,Strategy and planning,"Creating and maintaining organisational-level strategies to align overall business plans, actions and resources with high-level business objectives.","4,5,6,7"
ISCO,Information systems coordination,Strategy and architecture,Strategy and planning,Coordinating information and technology strategies where the adoption of a common approach would benefit the organisation.,"6,7"
IRMG,Information management,Strategy and architecture,Strategy and planning,Enabling the effective management and use of information assets.,"3,4,5,6,7"
STPL,Enterprise and business architecture,Strategy and architecture,Strategy and planning,"Aligning an organisation's technology strategy with its business mission, strategy and processes and documenting this using architectural models.","5,6,7"
ARCH,Solution architecture,Strategy and architecture,Strategy and planning,Developing and communicating a multi-dimensional solution architecture to deliver agreed business outcomes.,"4,5,6"
INOV,Innovation management,Strategy and architecture,Strategy and planning,"Identifying, prioritising, incubating and exploiting opportunities provided by information, communication and digital technologies.","5,6,7"
EMRG,Emerging technology monitoring,Strategy and architecture,Strategy and planning,"Identifying and assessing new and emerging technologies, products, services, methods and techniques.","4,5,6"
RSCH,Formal research,Strategy and architecture,Strategy and planning,"Systematically creating new knowledge by data gathering, innovation, experimentation, evaluation and dissemination.","2,3,4,5,6"
SUST,Sustainability,Strategy and architecture,Strategy and planning,Advising and leading sustainability initiatives to reduce environmental impact and ensure compliance with relevant standards and regulations.,"4,5,6"
FMIT,Financial management,Strategy and architecture,Financial and value management,"Managing the effective use and control of financial resources to support business strategies, compliance and risk mitigation.","4,5,6"
INVA,Investment appraisal,Strategy and architecture,Financial and value management,Assessing the attractiveness of possible investments or projects.,"4,5,6"
BENM,Benefits management,Strategy and architecture,Financial and value management,"Forecasting, planning and monitoring the emergence and effective realisation of anticipated benefits from projects and programmes.","3,4,5,6"
BUDF,Budgeting and forecasting,Strategy and architecture,Financial and value management,Developing and managing financial budgets and forecasts to enable effective decision-making and resource allocation.,"2,3,4,5,6"
FIAN,Financial analysis,Strategy and architecture,Financial and value management,Conducting in-depth analysis of financial data to derive insights and support decision-making.,"2,3,4,5,6"
COMG,Cost management,Strategy and architecture,Financial and value management,"Planning, controlling and analysing costs to enable the effective use of financial resources.","2,3,4,5,6"
DEMM,Demand management,Strategy and architecture,Financial and value management,Analysing and proactively managing business demand for new services or modifications to existing service features or volumes.,"4,5,6"
MEAS,Measurement,Strategy and architecture,Financial and value management,Developing and operating a measurement capability to support agreed organisational information needs.,"2,3,4,5,6"
SCTY,Information security,Strategy and architecture,Security and privacy,Defining and operating a framework of security controls and security management strategies.,"2,3,4,5,6,7"
INAS,Information assurance,Strategy and architecture,Security and privacy,"Protecting against and managing risks related to the use, storage and transmission of data and information systems.","2,3,4,5,6,7"
PEDP,Information and data compliance,Strategy and architecture,Security and privacy,Implementing and promoting compliance with information and data management legislation.,"4,5,6"
VURE,Vulnerability research,Strategy and architecture,Security and privacy,"Conducting applied research to discover, evaluate and mitigate new or unknown security vulnerabilities and weaknesses.","2,3,4,5,6"
THIN,Threat intelligence,Strategy and architecture,Security and privacy,Developing and sharing actionable insights on current and potential security threats to the success or integrity of an organisation.,"2,3,4,5,6"
